wordID	wordCS	word	lemma	Pos
509	Nothing	nothing	nothing	pn1
510	With	with	with	iw
511	face	face	face	nn1
512	back	back	back	rp_nn1
513	wait	wait	wait	vv0
514	Take	take	take	vv0
515	'S	's	be	vbz
516	heart	heart	heart	nn1
517	death	death	death	nn1
518	story	story	story	nn1
519	'd	'd	have	vhd
520	true	true	true	jj
521	Listen	listen	listen	vv0
522	pretty	pretty	pretty	rg
523	mind	mind	mind	nn1
524	happen	happen	happen	vvi
525	office	office	office	nn1
526	against	against	against	ii
527	hand	hand	hand	nn1
528	worry	worry	worry	vvi
529	game	game	game	nn1
530	its	its	its	appge
531	couple	couple	couple	nn1
532	when	when	when	rrq
533	most	most	most	rgt
534	five	five	five	mc
535	hey	hey	hey	uh
536	off	off	off	ii_rp
537	Wow	wow	wow	uh
538	side	side	side	nn1
539	-	-	--	#nn1
540	blood	blood	blood	nn1
541	important	important	important	jj
542	remember	remember	remember	vv0
543	police	police	police	nn2
544	team	team	team	nn1
545	water	water	water	nn1
546	start	start	start	vvi
547	after	after	after	ii_cs
548	crazy	crazy	crazy	jj
549	times	times	time	nnt2
550	least	least	least	rr22
551	as	as	as	ii_csa
552	thinking	thinking	think	vvg
553	me	me	--	#nnu
554	reason	reason	reason	nn1
555	better	better	better	rrr
556	long	long	long	jj
557	hands	hands	hand	nn2
558	husband	husband	husband	nn1
559	somebody	somebody	somebody	pn1
560	wan	wan	wan	vv0
561	Excuse	excuse	excuse	vv0
562	this	this	this	dd1_rg%
563	comes	comes	come	vvz
564	able	able	able	jk
565	truth	truth	truth	nn1
566	like	like	like	rr
567	His	his	his	appge
568	goes	goes	go	vvz
569	telling	telling	tell	vvg
570	over	over	over	ii
571	under	under	under	ii
572	Does	does	do	vdz
573	find	find	find	vv0
574	moment	moment	moment	nn1
575	A	a	a	at1@_zz1
576	believe	believe	believe	vv0
577	heard	heard	hear	vvd
578	between	between	between	ii
579	Would	would	would	vm
580	afraid	afraid	afraid	jj
581	number	number	number	nn1
582	Mr	mr	mr	nnb
583	right	right	right	rr_nn1
584	one	one	one	pn122
585	four	four	four	mc
586	keep	keep	keep	vv0
587	Which	which	which	ddq
588	hope	hope	hope	vv0
589	end	end	end	nn1
590	after	after	after	ii
591	daughter	daughter	daughter	nn1
592	Mom	mom	mom	nn1
593	until	until	until	cs
594	back	back	back	nn1
595	question	question	question	nn1
596	how	how	how	rgq@_rrq
597	bring	bring	bring	vvi
598	N'T	n't	n't	xx
599	made	made	make	vvn
600	more	more	more	dar_rrr
601	months	months	month	nnt2
602	young	young	young	jj
603	beautiful	beautiful	beautiful	jj
604	news	news	news	nn1
605	show	show	show	vvi
606	eyes	eyes	eye	nn2
607	sure	sure	sure	jj_rr%
608	before	before	before	rt
609	home	home	home	nn1
